key	EN	RU	DE
boq.model_link_elements	Elements ({{selected}} selected)	Элементы (выбрано {{selected}})	Elemente ({{selected}} ausgewählt)
boq.model_link_existing	Existing links	Существующие связи	Bestehende Verknüpfungen
boq.model_link_failed	Could not create model link	Не удалось создать связь с моделью	Modellverknüpfung konnte nicht angelegt werden
boq.model_link_model	BIM model	BIM-модель	BIM-Modell
boq.model_link_new	New link	Новая связь	Neue Verknüpfung
boq.model_link_no_elements	This model has no elements.	В этой модели нет элементов.	Dieses Modell enthält keine Elemente.
boq.model_link_no_models	This project has no BIM models yet.	В проекте пока нет BIM-моделей.	Für dieses Projekt sind noch keine BIM-Modelle vorhanden.
boq.model_link_none	No model links yet for this position.	Для этой позиции пока нет связей с моделью.	Für diese Position bestehen noch keine Modellverknüpfungen.
boq.model_link_pick_field	— Select a quantity —	— Выберите количество —	— Menge auswählen —
boq.model_link_pick_model	— Select a model —	— Выберите модель —	— Modell auswählen —
boq.model_link_quantity_field	Quantity field	Поле количества	Mengenfeld
boq.model_link_status_active	In sync	Синхронизировано	Synchronisiert
boq.model_link_status_stale	Stale	Устарело	Veraltet
boq.model_link_status_broken	Broken	Нарушено	Unterbrochen
boq.model_link_subtitle	Position {{ordinal}} — bind its quantity to BIM model elements	Позиция {{ordinal}} — привязать объём к элементам BIM-модели	Position {{ordinal}} — Menge an BIM-Modellelemente binden
boq.model_link_title	Model link	Связь с моделью	Modellverknüpfung
boq.model_link_version	model v{{v}}	модель v{{v}}	Modell v{{v}}
boq.model_review_all_synced	All linked quantities are in sync with the model.	Все связанные объёмы синхронизированы с моделью.	Alle verknüpften Mengen sind mit dem Modell synchronisiert.
boq.model_review_applied	{{count}} quantity update(s) applied	Применено обновлений объёма: {{count}}	{{count}} Mengenaktualisierung(en) übernommen
boq.model_review_apply	Apply {{count}} selected	Применить выбранные ({{count}})	{{count}} ausgewählte übernehmen
boq.model_review_apply_failed	Apply failed	Применение не удалось	Übernahme fehlgeschlagen
boq.model_review_btn	Model sync	Синхр. с моделью	Modell-Sync
boq.model_review_btn_hint	Re-pull quantities from linked BIM models	Пересчитать объёмы из связанных BIM-моделей	Mengen aus verknüpften BIM-Modellen neu laden
boq.model_review_hint	Re-pulls bound quantities against the latest model version. Nothing changes until you Apply.	Пересчитывает связанные объёмы по последней версии модели. Ничего не меняется, пока вы не нажмёте Применить.	Lädt verknüpfte Mengen gegen die aktuelle Modellversion neu. Es wird nichts verändert, bis Sie Übernehmen drücken.
boq.model_review_missing	{{count}} missing	{{count}} отсутствует	{{count}} fehlend
boq.model_review_no_links	No model links in this BOQ	В этой ведомости нет связей с моделью	Keine Modellverknüpfungen in diesem LV
boq.model_review_refresh	Refresh from model	Обновить из модели	Aus Modell aktualisieren
boq.model_review_refresh_failed	Refresh from model failed	Не удалось обновить из модели	Aktualisierung aus Modell fehlgeschlagen
boq.model_review_run	Run a refresh to see model-driven changes.	Запустите обновление, чтобы увидеть изменения от модели.	Aktualisierung ausführen, um modellgetriebene Änderungen zu sehen.
boq.model_review_title	Model quantity review	Проверка объёмов модели	Modell-Mengenprüfung
boq.position_added_edit_hint	Type the description, then Tab through unit, quantity & rate‌⁠‍	Введите описание, затем перейдите Tab по единице, количеству и цене	Beschreibung eingeben, dann mit Tab zu Einheit, Menge und EP wechseln
boq.link_badge_instance	Linked instance of code {{code}} — edits to its definition will diverge it‌⁠‍	Связанная копия кода {{code}} — правка определения приведёт к расхождению	Verknüpfte Instanz von Code {{code}} — Änderungen an der Definition führen zu einer Divergenz
boq.link_badge_master	Master of code {{code}} — {{count}} linked‌⁠‍	Эталон кода {{code}} — связано: {{count}}	Master von Code {{code}} — {{count}} verknüpft
boq.link_master_badge	Master‌⁠‍	Эталон	Master
boq.link_propagated_msg	Updated {{count}} linked position(s) across this project.‌⁠‍	Обновлено связанных позиций в проекте: {{count}}.	{{count}} verknüpfte Position(en) im Projekt aktualisiert.
boq.link_propagated_title	Definition propagated‌⁠‍	Определение распространено	Definition übertragen
boq.max_depth_reached_tooltip	Maximum nesting depth of {{max}} levels reached — flatten the structure or use fewer sub-levels.	Достигнута максимальная вложенность ({{max}} уровней) — упростите структуру или используйте меньше подуровней.	Maximale Schachtelungstiefe von {{max}} Ebenen erreicht — Struktur abflachen oder weniger Unterebenen verwenden.
boq.resource_link_propagated_msg	Updated the shared resource on {{count}} other position(s) across this project.‌⁠‍	Общий ресурс обновлён в {{count}} других позициях проекта.	Geteilte Ressource an {{count}} weiteren Position(en) im Projekt aktualisiert.
boq.resource_link_propagated_title	Resource definition propagated‌⁠‍	Определение ресурса распространено	Ressourcendefinition übertragen
boq.link_role_instance	Linked instance‌⁠‍	Связанная копия	Verknüpfte Instanz
boq.link_role_master	Master (definition of record)‌⁠‍	Эталон (запись определения)	Master (maßgebliche Definition)
boq.link_unlinked_msg	Your edit changed this linked copy, so it no longer follows the shared code. If you did not mean to diverge it, change its code back instead.‌⁠‍	Ваша правка изменила эту связанную копию, и она больше не следует общему коду. Если расхождение не было намеренным — верните прежний код.	Ihre Änderung hat diese verknüpfte Kopie verändert, daher folgt sie dem gemeinsamen Code nicht mehr. Falls keine Divergenz beabsichtigt war, setzen Sie den Code zurück.
boq.link_unlinked_title	Position unlinked from shared code‌⁠‍	Позиция отвязана от общего кода	Position vom geteilten Code getrennt
boq.linked_positions_count	{{total}} positions share this code ({{instances}} linked instance(s)). The master is the definition of record; editing it propagates to every instance in this project.‌⁠‍	{{total}} позиций используют этот код ({{instances}} связанных копий). Эталон — запись определения; правка эталона распространяется на все копии в проекте.	{{total}} Positionen teilen diesen Code ({{instances}} verknüpfte Instanz(en)). Der Master ist die maßgebliche Definition; Änderungen daran wirken sich auf alle Instanzen im Projekt aus.
boq.linked_positions_error	Could not load linked positions.‌⁠‍	Не удалось загрузить связанные позиции.	Verknüpfte Positionen konnten nicht geladen werden.
boq.linked_positions_none	This position is standalone — no other position shares its code.‌⁠‍	Эта позиция автономна — другие позиции этот код не используют.	Diese Position ist eigenständig — kein anderer Eintrag teilt ihren Code.
boq.linked_positions_subtitle	Code {{code}} — viewing from position {{ordinal}}	Код {{code}} — просмотр из позиции {{ordinal}}	Code {{code}} — Ansicht aus Position {{ordinal}}
boq.linked_positions_title	Linked positions‌⁠‍	Связанные позиции	Verknüpfte Positionen
boq.no_description	(no description)‌⁠‍	(без описания)	(keine Beschreibung)
boq.reuse_code_action	Reuse Existing Code…	Повторно использовать код…	Vorhandenen Code wiederverwenden…
boq.reuse_code_existing	Existing codes: {{codes}}	Существующие коды: {{codes}}	Vorhandene Codes: {{codes}}
boq.reuse_code_msg	Linked instance created — {{count}} positions share this code. Its quantity is independently editable.‌⁠‍	Создана связанная копия — этот код используют {{count}} позиций. Количество редактируется независимо.	Verknüpfte Instanz angelegt — {{count}} Positionen teilen diesen Code. Die Menge ist unabhängig editierbar.
boq.reuse_code_prompt	Enter an existing code to reuse it here (its definition & sub-items are copied; quantity stays independent):	Введите существующий код, чтобы повторно использовать его здесь (определение и подпозиции копируются; количество остаётся независимым):	Geben Sie einen vorhandenen Code ein, um ihn hier wiederzuverwenden (Definition und Unterpositionen werden kopiert; die Menge bleibt unabhängig):
boq.reuse_code_title	Reused code {{code}}‌⁠‍	Код {{code}} переиспользован	Code {{code}} wiederverwendet
boq.show_linked	Show Linked Positions	Показать связанные позиции	Verknüpfte Positionen anzeigen
boq.unlink_done_msg	Code {{code}} kept. This position no longer follows the shared code; its values were preserved.‌⁠‍	Код {{code}} сохранён. Эта позиция больше не следует общему коду; её значения сохранены.	Code {{code}} beibehalten. Diese Position folgt dem gemeinsamen Code nicht mehr; ihre Werte wurden bewahrt.
boq.unlink_done_title	Position unlinked‌⁠‍	Позиция отвязана	Position getrennt
boq.unlink_failed	Failed to unlink position‌⁠‍	Не удалось отвязать позицию	Position konnte nicht getrennt werden
boq.unlink_this	Unlink this position‌⁠‍	Отвязать эту позицию	Diese Position trennen
login.github	GitHub	GitHub	GitHub
login.github_sub	Source code	Исходный код	Quellcode
login.community	Community	Сообщество	Community
login.community_sub	Get help & discuss	Помощь и обсуждение	Hilfe und Austausch
login.brand_edit	Customize logo	Настроить логотип	Logo anpassen
login.brand_title	White-label branding	White-label оформление	White-Label-Branding
login.brand_desc	Shown on this sign-in screen and across the app. Stored only in this browser.	Отображается на экране входа и во всём приложении. Сохраняется только в этом браузере.	Wird auf diesem Anmeldebildschirm und in der gesamten App angezeigt. Nur in diesem Browser gespeichert.
login.brand_upload	Upload logo	Загрузить логотип	Logo hochladen
login.brand_name_ph	Company name	Название компании	Firmenname
login.brand_reset	Reset to default	Сбросить к умолчанию	Auf Standard zurücksetzen
login.brand_too_big	Image too large (max 512 KB).	Изображение слишком большое (макс. 512 КБ).	Bild zu groß (max. 512 KB).
login.brand_bad_type	Please choose a PNG, JPG, SVG or WebP image.	Выберите изображение PNG, JPG, SVG или WebP.	Bitte ein PNG-, JPG-, SVG- oder WebP-Bild auswählen.
nav.project_route	Project route	Маршрут проекта	Projektablauf
nav.phase_estimation	Estimation	Сметная оценка	Kalkulation
nav.phase_planning	Planning	Планирование	Planung
nav.phase_execution	Execution	Производство	Ausführung
nav.phase_closure	Quality & Closure	Качество и закрытие	Qualität und Abschluss
nav.clash_detection	Clash Detection	Поиск коллизий	Kollisionsprüfung
nav.pipelines	Pipeline Builder	Конструктор пайплайнов	Pipeline-Builder
schedule_advanced.master_hint	Select a master schedule to make it the working plan for the Phases, Look-Ahead, Weekly and Constraints tabs. Use the row actions to rename it, change its planned dates and status, or delete it.	Выберите главный график, чтобы сделать его рабочим планом для вкладок «Фазы», «Look-Ahead», «Недельный» и «Ограничения». Действия строки позволяют переименовать график, изменить плановые даты и статус или удалить его.	Wählen Sie einen Hauptterminplan, um ihn zum Arbeitsplan für die Tabs Phasen, Look-Ahead, Wochenplan und Constraints zu machen. Über die Zeilenaktionen können Sie ihn umbenennen, Termine und Status ändern oder löschen.
schedule_advanced.no_master_yet_desc	The master schedule is the top-level plan that every phase plan, look-ahead and weekly work plan rolls up to. Create one to start pull-planning — you can rename it, change its dates, or delete it at any time.	Главный график — это план верхнего уровня, в который сворачиваются все фазовые планы, look-ahead и недельные планы работ. Создайте его для начала pull-планирования — переименовать, изменить даты или удалить можно в любой момент.	Der Hauptterminplan ist der oberste Plan, in den alle Phasenpläne, Look-Ahead- und Wochenpläne einfließen. Legen Sie einen an, um mit der Pull-Planung zu beginnen — Sie können ihn jederzeit umbenennen, Termine ändern oder löschen.
schedule_advanced.active_selection	Working plan	Рабочий план	Arbeitsplan
schedule_advanced.master_status.active	Active	Активен	Aktiv
schedule_advanced.master_status.archived	Archived	В архиве	Archiviert
schedule_advanced.edit_master	Edit master schedule	Редактировать главный график	Hauptterminplan bearbeiten
schedule_advanced.master_updated	Master schedule updated	Главный график обновлён	Hauptterminplan aktualisiert
schedule_advanced.master_deleted	Master schedule deleted	Главный график удалён	Hauptterminplan gelöscht
schedule_advanced.delete_master_title	Delete master schedule?	Удалить главный график?	Hauptterminplan löschen?
schedule_advanced.delete_master_message	\"{{name}}\" and everything under it — phase plans, look-aheads, weekly work plans, commitments and baselines — will be permanently deleted. This cannot be undone.	«{{name}}» и всё, что входит в него — фазовые планы, look-ahead, недельные планы работ, обязательства и базовые планы — будут безвозвратно удалены. Действие нельзя отменить.	„{{name}}“ und alles darunter — Phasenpläne, Look-Aheads, Wochenpläne, Commitments und Baselines — werden dauerhaft gelöscht. Dies kann nicht rückgängig gemacht werden.
schedule_advanced.err_master_name_required	Master schedule name is required.	Укажите название главного графика.	Name des Hauptterminplans ist erforderlich.
schedule_advanced.master_name_placeholder	e.g. Construction master schedule	напр., Главный график строительства	z. B. Bau-Hauptterminplan
schedule_advanced.master_status_hint	Archive a schedule to keep its history without it being the working plan. Archived schedules can be reactivated here at any time.	Архивируйте график, чтобы сохранить его историю, не делая его рабочим планом. Архивные графики можно реактивировать здесь в любой момент.	Archivieren Sie einen Plan, um seine Historie zu behalten, ohne ihn als Arbeitsplan zu führen. Archivierte Pläne können hier jederzeit reaktiviert werden.
schedule_advanced.master_notes_placeholder	Scope, contract reference, key milestones…	Объём, ссылка на договор, ключевые вехи…	Umfang, Vertragsreferenz, wichtige Meilensteine…
files.cta.add_first_short	Add files	Добавить файлы	Dateien hinzufügen
files.folder.files_count	files	файлов	Dateien
files.folder.subfolders	{{count}} folders	{{count}} папок	{{count}} Ordner
files.folder.share	{{pct}}% of total storage	{{pct}}% общего хранилища	{{pct}}% des gesamten Speichers
notifications.safety.incident_created	Safety incident reported	Зарегистрирован инцидент по охране труда	Sicherheitsvorfall gemeldet
notifications.safety.incident_created_body	Incident {{incident_number}} ({{severity}}): {{description}}	Инцидент {{incident_number}} ({{severity}}): {{description}}	Vorfall {{incident_number}} ({{severity}}): {{description}}
notifications.safety.high_risk_observation	High-risk safety observation	Наблюдение по охране труда: высокий риск	Sicherheitsbeobachtung mit hohem Risiko
notifications.safety.high_risk_body	Observation {{observation_number}} (risk {{risk_score}}): {{description}}	Наблюдение {{observation_number}} (риск {{risk_score}}): {{description}}	Beobachtung {{observation_number}} (Risiko {{risk_score}}): {{description}}
notifications.bi.alert.title	Dashboard alert triggered	Сработал алерт на дашборде	Dashboard-Alarm ausgelöst
notifications.bi.alert.body	{{alert_name}} — {{kpi_code}} is {{value}} ({{condition}} threshold {{threshold}}).	{{alert_name}} — {{kpi_code}} = {{value}} ({{condition}} порога {{threshold}}).	{{alert_name}} — {{kpi_code}} liegt bei {{value}} ({{condition}} Schwellwert {{threshold}}).
notifications.bi.report.title	Scheduled report ready	Запланированный отчёт готов	Geplanter Bericht bereit
notifications.bi.report.body	Report {{report_code}} generated with {{row_count}} rows.	Отчёт {{report_code}} сформирован, строк: {{row_count}}.	Bericht {{report_code}} mit {{row_count}} Zeilen erstellt.
notifications.supplier_catalogs.po.sent.title	Purchase order sent	Заказ на закупку отправлен	Bestellung versendet
notifications.supplier_catalogs.po.sent.body	PO sent to vendor {{vendor_id}} for {{total}} {{currency}}.	Заказ отправлен поставщику {{vendor_id}} на {{total}} {{currency}}.	Bestellung an Lieferant {{vendor_id}} über {{total}} {{currency}} versendet.
notifications.supplier_catalogs.invoice.exception.title	Invoice exception	Расхождение в счёте	Rechnungsabweichung
notifications.supplier_catalogs.invoice.exception.body	Invoice for PO {{po_id}} needs review: {{reason}}	Счёт по заказу {{po_id}} требует проверки: {{reason}}	Rechnung für Bestellung {{po_id}} muss geprüft werden: {{reason}}
notifications.supplier_catalogs.stock.low.title	Low stock warning	Низкий складской остаток	Niedriger Lagerbestand
notifications.supplier_catalogs.stock.low.body	{{sku}}: {{available_qty}} left, at or below reorder point {{reorder_point}}.	{{sku}}: осталось {{available_qty}}, на уровне или ниже точки заказа {{reorder_point}}.	{{sku}}: {{available_qty}} verfügbar, am oder unter Meldebestand {{reorder_point}}.
notifications.supplier_catalogs.vendor.blacklisted.title	Vendor blacklisted	Поставщик внесён в чёрный список	Lieferant gesperrt
notifications.supplier_catalogs.vendor.blacklisted.body	Vendor {{code}} was blacklisted: {{reason}}	Поставщик {{code}} внесён в чёрный список: {{reason}}	Lieferant {{code}} wurde gesperrt: {{reason}}
notifications.supplier_catalogs.kyc.expired.title	Vendor compliance document expired	Документ соответствия поставщика просрочен	Compliance-Dokument des Lieferanten abgelaufen
notifications.supplier_catalogs.kyc.expired.body	{{doc_type}} expired on {{expires_on}}.	{{doc_type}} истёк {{expires_on}}.	{{doc_type}} ist am {{expires_on}} abgelaufen.
notifications.supplier_catalogs.kyc.expiring.title	Vendor compliance document expiring	Документ соответствия поставщика истекает	Compliance-Dokument des Lieferanten läuft ab
notifications.supplier_catalogs.kyc.expiring.body	{{doc_type}} expires on {{expires_on}} ({{days_until_expiry}} days left).	{{doc_type}} истекает {{expires_on}} (осталось дней: {{days_until_expiry}}).	{{doc_type}} läuft am {{expires_on}} ab ({{days_until_expiry}} Tage verbleibend).
notifications.resources.cert_expiring.title	Certification expiring	Истекает сертификат	Zertifizierung läuft ab
notifications.resources.cert_expiring.body	{{resource_name}} — {{cert_type}} expires {{valid_until}} ({{days_left}} days left).	{{resource_name}} — {{cert_type}} истекает {{valid_until}} (осталось дней: {{days_left}}).	{{resource_name}} — {{cert_type}} läuft am {{valid_until}} ab ({{days_left}} Tage verbleibend).
notifications.resources.assignment_proposed.title	Resource assignment proposed	Предложено назначение ресурса	Ressourcenzuweisung vorgeschlagen
notifications.resources.assignment_proposed.body	Proposed for task {{task}} starting {{start}}.	Предложено на задачу {{task}} с {{start}}.	Vorschlag für Aufgabe {{task}} ab {{start}}.
notifications.resources.assignment_confirmed.title	Resource assignment confirmed	Назначение ресурса подтверждено	Ressourcenzuweisung bestätigt
notifications.resources.assignment_confirmed.body	Assignment confirmed for task {{task}}.	Назначение на задачу {{task}} подтверждено.	Zuweisung für Aufgabe {{task}} bestätigt.
notifications.contracts.signed.title	Contract signed	Договор подписан	Vertrag unterzeichnet
notifications.contracts.signed.body	Contract {{code}} signed for {{value}} {{currency}}.	Договор {{code}} подписан на {{value}} {{currency}}.	Vertrag {{code}} über {{value}} {{currency}} unterzeichnet.
notifications.contracts.claim_submitted.title	Contract claim submitted	Подана претензия по договору	Nachtrag eingereicht
notifications.contracts.claim_submitted.body	Claim submitted for {{amount}} {{currency}}.	Подана претензия на {{amount}} {{currency}}.	Nachtrag über {{amount}} {{currency}} eingereicht.
notifications.contracts.claim_paid.title	Contract claim paid	Претензия по договору оплачена	Nachtrag bezahlt
notifications.contracts.claim_paid.body	Claim paid: {{amount}} {{currency}}.	Оплачена претензия: {{amount}} {{currency}}.	Nachtrag bezahlt: {{amount}} {{currency}}.
notifications.contracts.retention_released.title	Retention released	Удержание возвращено	Sicherheitseinbehalt freigegeben
notifications.contracts.retention_released.body	Contract {{contract_code}}: {{amount_released}} released, {{remaining}} remaining.	Договор {{contract_code}}: возвращено {{amount_released}}, остаток {{remaining}}.	Vertrag {{contract_code}}: {{amount_released}} freigegeben, {{remaining}} verbleibend.
notifications.crm.lead_qualified.title	Lead qualified	Лид квалифицирован	Lead qualifiziert
notifications.crm.lead_qualified.body	Lead {{name}} has been qualified.	Лид {{name}} квалифицирован.	Lead {{name}} wurde qualifiziert.
notifications.crm.opportunity_won.title	Opportunity won	Сделка выиграна	Opportunity gewonnen
notifications.crm.opportunity_won.body	{{name}} won — value {{value}}.	{{name}} выиграна — сумма {{value}}.	{{name}} gewonnen — Wert {{value}}.
notifications.crm.opportunity_scored.title	Opportunity scored	Сделка оценена	Opportunity bewertet
notifications.crm.opportunity_scored.body	{{title}} scored {{score}} (band {{band}}).	{{title}} получила {{score}} (диапазон {{band}}).	{{title}} mit {{score}} bewertet (Band {{band}}).
notifications.carbon.boq_position_assigned.title	Carbon factor assigned	Назначен углеродный коэффициент	CO₂-Faktor zugewiesen
notifications.carbon.boq_position_assigned.body	BOQ position {{boq_position_id}}: {{carbon_kg}} kg CO₂e ({{stage}}).	Позиция BOQ {{boq_position_id}}: {{carbon_kg}} кг CO₂e ({{stage}}).	LV-Position {{boq_position_id}}: {{carbon_kg}} kg CO₂e ({{stage}}).
notifications.property_dev.buyer_contracted.title	Buyer contracted	Покупатель оформлен по договору	Käufer unter Vertrag
notifications.property_dev.buyer_contracted.body	{{buyer}} contracted for plot {{plot}}.	{{buyer}} заключил договор на участок {{plot}}.	{{buyer}} hat Grundstück {{plot}} unter Vertrag.
notifications.property_dev.handover_completed.title	Handover completed	Передача завершена	Übergabe abgeschlossen
notifications.property_dev.handover_completed.body	Plot {{plot}} handover completed.	Передача участка {{plot}} завершена.	Übergabe für Grundstück {{plot}} abgeschlossen.
notifications.property_dev.warranty_raised.title	Warranty claim raised	Заявлено гарантийное требование	Gewährleistungsanspruch gemeldet
notifications.property_dev.warranty_raised.body	{{category}} warranty claim raised for plot {{plot}}.	Гарантийное требование по {{category}} для участка {{plot}}.	{{category}}-Gewährleistungsanspruch für Grundstück {{plot}} gemeldet.
notifications.bid_management.invitation_sent.title	Bid invitation sent	Отправлено приглашение к торгам	Ausschreibungseinladung versendet
notifications.bid_management.invitation_sent.body	Invitation for {{package}} sent, due {{due}}.	Приглашение по пакету {{package}} отправлено, срок {{due}}.	Einladung für {{package}} versendet, Abgabe {{due}}.
notifications.bid_management.awarded.title	Bid awarded	Подряд присуждён	Auftrag vergeben
notifications.bid_management.awarded.body	{{package}} awarded for {{amount}}.	{{package}} присуждён за {{amount}}.	{{package}} für {{amount}} vergeben.
notifications.schedule_advanced.constraint_cleared.title	Schedule constraint cleared	Ограничение графика снято	Terminplan-Constraint aufgehoben
notifications.schedule_advanced.constraint_cleared.body	Task {{task}} is no longer blocked.	Задача {{task}} больше не заблокирована.	Aufgabe {{task}} ist nicht mehr blockiert.
notifications.daily_diary.signed.title	Daily diary signed	Дневник работ подписан	Bautagebuch unterzeichnet
notifications.daily_diary.signed.body	Diary for {{date}} has been signed.	Дневник за {{date}} подписан.	Tagebuch für {{date}} wurde unterzeichnet.
notifications.service.ticket_dispatched.title	Service ticket dispatched	Сервисная заявка отправлена в работу	Service-Ticket disponiert
notifications.service.ticket_dispatched.body	Ticket {{ticket_number}} dispatched ({{priority}} priority).	Заявка {{ticket_number}} отправлена в работу (приоритет {{priority}}).	Ticket {{ticket_number}} disponiert (Priorität {{priority}}).
notifications.service.ticket_resolved.title	Service ticket resolved	Сервисная заявка закрыта	Service-Ticket gelöst
notifications.service.ticket_resolved.body	Ticket {{ticket_number}} has been resolved.	Заявка {{ticket_number}} закрыта.	Ticket {{ticket_number}} wurde gelöst.
notifications.service.work_order_billed.title	Work order billed	Наряд-заказ выставлен к оплате	Arbeitsauftrag abgerechnet
notifications.service.work_order_billed.body	Work order {{wo_number}} billed for {{amount}} {{currency}}.	Наряд-заказ {{wo_number}} выставлен на {{amount}} {{currency}}.	Arbeitsauftrag {{wo_number}} über {{amount}} {{currency}} abgerechnet.
notifications.subcontractors.prequal_submitted.title	Prequalification submitted	Подана преквалификация	Präqualifikation eingereicht
notifications.subcontractors.prequal_submitted.body	{{subcontractor_name}} submitted a prequalification.	{{subcontractor_name}} подал преквалификацию.	{{subcontractor_name}} hat eine Präqualifikation eingereicht.
notifications.subcontractors.payment_app_submitted.title	Payment application submitted	Подана заявка на оплату	Zahlungsantrag eingereicht
notifications.subcontractors.payment_app_submitted.body	Application {{application_number}} submitted for {{net_amount}} {{currency}}.	Заявка {{application_number}} подана на {{net_amount}} {{currency}}.	Antrag {{application_number}} über {{net_amount}} {{currency}} eingereicht.
notifications.subcontractors.retention_released.title	Subcontractor retention released	Удержание подрядчика возвращено	Nachunternehmer-Einbehalt freigegeben
notifications.subcontractors.retention_released.body	{{amount}} {{currency}} retention released.	Возвращено удержание: {{amount}} {{currency}}.	{{amount}} {{currency}} Sicherheitseinbehalt freigegeben.
notifications.equipment.assigned.title	Equipment assigned	Техника назначена	Gerät zugewiesen
notifications.equipment.assigned.body	{{equipment_code}} assigned to {{project_name}}.	{{equipment_code}} назначена на {{project_name}}.	{{equipment_code}} {{project_name}} zugewiesen.
notifications.equipment.damage_reported.title	Equipment damage reported	Сообщено о повреждении техники	Geräteschaden gemeldet
notifications.equipment.damage_reported.body	{{equipment_code}} damage reported ({{severity}}).	{{equipment_code}}: повреждение ({{severity}}).	Schaden an {{equipment_code}} gemeldet ({{severity}}).
notifications.portal.user_invited.title	Portal user invited	Приглашён пользователь портала	Portal-Benutzer eingeladen
notifications.portal.user_invited.body	{{portal_user_email}} invited as {{portal_role}}.	{{portal_user_email}} приглашён как {{portal_role}}.	{{portal_user_email}} als {{portal_role}} eingeladen.
match_elements.vector_status_disconnected_explainer	Semantic vector search is optional — it sharpens matches by meaning but needs a running Qdrant vector database. Use the \"Vector database\" panel below to start or install Qdrant natively (no Docker required), then retry.	Семантический векторный поиск — опциональная функция: она уточняет совпадения по смыслу, но требует запущенной векторной БД Qdrant. Используйте панель «Векторная БД» ниже, чтобы запустить или установить Qdrant нативно (без Docker), затем повторите попытку.	Die semantische Vektorsuche ist optional — sie verschärft Matches nach Bedeutung, benötigt aber eine laufende Qdrant-Vektordatenbank. Nutzen Sie das Panel „Vektordatenbank“ unten, um Qdrant nativ zu starten oder zu installieren (kein Docker erforderlich), und versuchen Sie es erneut.
